province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Limpopo,2020-04-12,-69.0,-53.0,-19.0,-69.0,-34.0,22.0
Limpopo,2020-04-13,-75.0,-65.0,-6.0,-79.0,-79.0,40.0
Limpopo,2020-04-14,-60.0,-44.0,-2.0,-63.0,-64.0,29.0
Limpopo,2020-04-15,-57.0,-39.0,1.0,-61.0,-64.0,31.0
Limpopo,2020-04-16,-60.0,-40.0,-1.0,-64.0,-64.0,31.0
Limpopo,2020-04-17,-64.0,-44.0,-6.0,-69.0,-62.0,32.0
Limpopo,2020-04-18,-69.0,-54.0,-27.0,-68.0,-42.0,23.0
Limpopo,2020-04-19,-69.0,-54.0,-21.0,-71.0,-30.0,22.0
Limpopo,2020-04-20,-63.0,-50.0,-4.0,-67.0,-61.0,30.0
Limpopo,2020-04-21,-64.0,-51.0,0.0,-69.0,-61.0,29.0
Limpopo,2020-04-22,-60.0,-47.0,-3.0,-69.0,-61.0,30.0
Limpopo,2020-04-23,-61.0,-46.0,-3.0,-71.0,-61.0,30.0
Limpopo,2020-04-24,-60.0,-41.0,-9.0,-67.0,-58.0,29.0
Limpopo,2020-04-25,-62.0,-43.0,-23.0,-59.0,-36.0,20.0
Limpopo,2020-04-26,-64.0,-43.0,-20.0,-69.0,-27.0,21.0
Limpopo,2020-04-27,-72.0,-60.0,-5.0,-75.0,-75.0,36.0
Limpopo,2020-04-28,-56.0,-41.0,-1.0,-62.0,-58.0,27.0
Limpopo,2020-04-29,-55.0,-40.0,0.0,-64.0,-58.0,28.0
Limpopo,2020-04-30,-50.0,-28.0,4.0,-59.0,-55.0,25.0
Limpopo,2020-05-01,-56.0,-38.0,1.0,-63.0,-66.0,29.0
Limpopo,2020-05-02,-43.0,-20.0,-16.0,-36.0,-21.0,16.0
Limpopo,2020-05-03,-46.0,-20.0,-13.0,-47.0,-9.0,15.0
Limpopo,2020-05-04,-38.0,-21.0,4.0,-33.0,-43.0,20.0
Limpopo,2020-05-05,-38.0,-23.0,5.0,-35.0,-43.0,20.0
Limpopo,2020-05-06,-33.0,-19.0,5.0,-27.0,-42.0,21.0
Limpopo,2020-05-07,-32.0,-15.0,5.0,-25.0,-42.0,20.0
Limpopo,2020-05-08,-48.0,-28.0,-6.0,-51.0,-40.0,24.0
Limpopo,2020-05-09,-51.0,-31.0,-21.0,-49.0,-14.0,17.0
Limpopo,2020-05-10,-51.0,-29.0,-19.0,-56.0,-6.0,17.0
Limpopo,2020-05-11,-44.0,-29.0,-1.0,-47.0,-40.0,22.0
Limpopo,2020-05-12,-44.0,-30.0,0.0,-44.0,-40.0,21.0
Limpopo,2020-05-13,-42.0,-30.0,1.0,-47.0,-39.0,22.0
Limpopo,2020-05-14,-40.0,-28.0,1.0,-48.0,-40.0,22.0
Limpopo,2020-05-15,-39.0,-23.0,-1.0,-50.0,-36.0,22.0
Limpopo,2020-05-16,-44.0,-27.0,-20.0,-44.0,-8.0,15.0
Limpopo,2020-05-17,-49.0,-31.0,-18.0,-53.0,-3.0,16.0
Limpopo,2020-05-18,-40.0,-29.0,0.0,-48.0,-37.0,21.0
Limpopo,2020-05-19,-41.0,-32.0,0.0,-47.0,-38.0,21.0
Limpopo,2020-05-20,-38.0,-29.0,-1.0,-47.0,-38.0,23.0
Limpopo,2020-05-21,-38.0,-27.0,-2.0,-53.0,-38.0,22.0
Limpopo,2020-05-22,-39.0,-23.0,-8.0,-53.0,-34.0,21.0
Limpopo,2020-05-23,-43.0,-27.0,-23.0,-48.0,-5.0,15.0
Limpopo,2020-05-24,-46.0,-28.0,-17.0,-51.0,2.0,15.0
Limpopo,2020-05-25,-33.0,-22.0,-2.0,-47.0,-35.0,20.0
Limpopo,2020-05-26,-33.0,-24.0,-1.0,-42.0,-31.0,18.0
Limpopo,2020-05-27,-30.0,-21.0,-3.0,-47.0,-32.0,20.0
Limpopo,2020-05-28,-29.0,-17.0,-3.0,-48.0,-31.0,19.0
Limpopo,2020-05-29,-31.0,-15.0,-3.0,-45.0,-28.0,19.0
Limpopo,2020-05-30,-32.0,-16.0,-18.0,-37.0,3.0,12.0
Limpopo,2020-05-31,-32.0,-11.0,-14.0,-43.0,16.0,12.0
Limpopo,2020-06-01,-15.0,-3.0,4.0,-23.0,-22.0,14.0
Limpopo,2020-06-02,-17.0,-11.0,3.0,-22.0,-22.0,14.0
Limpopo,2020-06-03,-15.0,-9.0,3.0,-22.0,-22.0,16.0
Limpopo,2020-06-04,-14.0,-2.0,3.0,-20.0,-22.0,16.0
Limpopo,2020-06-05,-23.0,-13.0,1.0,-24.0,-20.0,15.0
Limpopo,2020-06-06,-26.0,-15.0,-13.0,-17.0,7.0,11.0
Limpopo,2020-06-07,-27.0,-12.0,-9.0,-26.0,19.0,11.0
Limpopo,2020-06-08,-21.0,-12.0,1.0,-16.0,-18.0,14.0
Limpopo,2020-06-09,-22.0,-17.0,0.0,-25.0,-18.0,13.0
Limpopo,2020-06-10,-20.0,-14.0,3.0,-25.0,-18.0,15.0
Limpopo,2020-06-11,-17.0,-11.0,2.0,-25.0,-19.0,15.0
Limpopo,2020-06-12,-24.0,-16.0,-1.0,-22.0,-18.0,15.0
Limpopo,2020-06-13,-27.0,-18.0,-12.0,-21.0,9.0,12.0
Limpopo,2020-06-14,-30.0,-21.0,-8.0,-32.0,17.0,12.0
Limpopo,2020-06-15,-9.0,-4.0,7.0,-17.0,-21.0,13.0
Limpopo,2020-06-16,-37.0,-34.0,6.0,-54.0,-59.0,25.0
Limpopo,2020-06-17,-12.0,-8.0,1.0,-28.0,-19.0,15.0
Limpopo,2020-06-18,-16.0,-10.0,0.0,-41.0,-20.0,14.0
Limpopo,2020-06-19,-24.0,-17.0,-4.0,-36.0,-18.0,14.0
Limpopo,2020-06-20,-27.0,-17.0,-14.0,-32.0,9.0,11.0
Limpopo,2020-06-21,-30.0,-18.0,-11.0,-47.0,17.0,12.0
Limpopo,2020-06-22,-23.0,-19.0,-2.0,-33.0,-19.0,15.0
Limpopo,2020-06-23,-22.0,-20.0,-2.0,-25.0,-19.0,14.0
Limpopo,2020-06-24,-18.0,-17.0,-1.0,-32.0,-17.0,15.0
Limpopo,2020-06-25,-6.0,1.0,2.0,-25.0,-17.0,13.0
Limpopo,2020-06-26,-12.0,-5.0,2.0,-21.0,-16.0,12.0
Limpopo,2020-06-27,-14.0,-5.0,-8.0,-15.0,7.0,9.0
Limpopo,2020-06-28,-18.0,-7.0,-7.0,-28.0,15.0,10.0
Limpopo,2020-06-29,-14.0,-10.0,1.0,-19.0,-16.0,13.0
Limpopo,2020-06-30,-5.0,-4.0,0.0,-12.0,-14.0,11.0
Limpopo,2020-07-01,-1.0,2.0,3.0,-10.0,-13.0,13.0
Limpopo,2020-07-02,0.0,8.0,4.0,-10.0,-13.0,13.0
Limpopo,2020-07-03,-8.0,-1.0,4.0,-8.0,-13.0,12.0
Limpopo,2020-07-04,-12.0,-3.0,-2.0,-6.0,12.0,9.0
Limpopo,2020-07-05,-10.0,1.0,-1.0,-5.0,22.0,10.0
Limpopo,2020-07-06,-10.0,-5.0,4.0,-15.0,-14.0,12.0
Limpopo,2020-07-07,-9.0,-6.0,4.0,-8.0,-14.0,12.0
Limpopo,2020-07-08,-13.0,-9.0,-2.0,-20.0,-14.0,15.0
Limpopo,2020-07-09,-12.0,-5.0,-3.0,-23.0,-15.0,14.0
Limpopo,2020-07-10,-21.0,-14.0,-2.0,-21.0,-13.0,13.0
Limpopo,2020-07-11,-26.0,-18.0,-14.0,-29.0,5.0,10.0
Limpopo,2020-07-12,-25.0,-17.0,-10.0,-28.0,14.0,11.0
Limpopo,2020-07-13,-24.0,-19.0,-4.0,-22.0,-16.0,13.0
Limpopo,2020-07-14,-24.0,-22.0,-3.0,-17.0,-17.0,13.0
Limpopo,2020-07-15,-11.0,-10.0,-1.0,-25.0,-15.0,15.0
Limpopo,2020-07-16,-12.0,-8.0,-2.0,-25.0,-16.0,14.0
Limpopo,2020-07-17,-19.0,-11.0,-1.0,-24.0,-14.0,15.0
Limpopo,2020-07-18,-24.0,-18.0,-15.0,-24.0,7.0,13.0
Limpopo,2020-07-19,-28.0,-18.0,-11.0,-31.0,14.0,14.0
Limpopo,2020-07-20,-22.0,-18.0,-5.0,-25.0,-15.0,16.0
Limpopo,2020-07-21,-22.0,-22.0,-3.0,-22.0,-16.0,15.0
Limpopo,2020-07-22,-13.0,-12.0,-1.0,-24.0,-14.0,16.0
Limpopo,2020-07-23,-15.0,-12.0,-3.0,-25.0,-15.0,15.0
Limpopo,2020-07-24,-14.0,-8.0,0.0,-19.0,-13.0,15.0
Limpopo,2020-07-25,-13.0,-4.0,-12.0,-17.0,5.0,12.0
Limpopo,2020-07-26,-15.0,-5.0,-8.0,-31.0,12.0,13.0
Limpopo,2020-07-27,-11.0,-6.0,0.0,-22.0,-23.0,17.0
Limpopo,2020-07-28,-11.0,-10.0,-2.0,-17.0,-24.0,16.0
Limpopo,2020-07-29,-7.0,-6.0,1.0,-23.0,-24.0,17.0
Limpopo,2020-07-30,-8.0,-3.0,2.0,-30.0,-25.0,16.0
Limpopo,2020-07-31,-5.0,2.0,5.0,-21.0,-23.0,14.0
Limpopo,2020-08-01,-4.0,5.0,1.0,-13.0,6.0,9.0
Limpopo,2020-08-02,-2.0,8.0,4.0,-16.0,17.0,10.0
Limpopo,2020-08-03,-4.0,2.0,6.0,-12.0,-18.0,13.0
Limpopo,2020-08-04,-3.0,-1.0,10.0,-12.0,-18.0,13.0
Limpopo,2020-08-05,1.0,3.0,11.0,-11.0,-18.0,15.0
Limpopo,2020-08-06,1.0,6.0,11.0,-12.0,-19.0,13.0
Limpopo,2020-08-07,-6.0,1.0,18.0,-15.0,-18.0,12.0
Limpopo,2020-08-08,-8.0,-2.0,12.0,-5.0,9.0,8.0
Limpopo,2020-08-09,-8.0,-1.0,25.0,-19.0,15.0,9.0
Limpopo,2020-08-10,-28.0,-28.0,28.0,-41.0,-61.0,23.0
Limpopo,2020-08-11,-6.0,-5.0,14.0,-5.0,-14.0,10.0
Limpopo,2020-08-12,-9.0,-8.0,15.0,-16.0,-14.0,13.0
Limpopo,2020-08-13,-11.0,-7.0,11.0,-16.0,-15.0,12.0
Limpopo,2020-08-14,-8.0,-2.0,15.0,-15.0,-12.0,10.0
Limpopo,2020-08-15,-9.0,-3.0,4.0,-11.0,17.0,8.0
Limpopo,2020-08-16,-11.0,-2.0,9.0,-23.0,19.0,9.0
Limpopo,2020-08-17,-14.0,-10.0,,,-11.0,13.0
Limpopo,2020-08-18,-8.0,-6.0,,,-9.0,9.0
Limpopo,2020-08-19,-10.0,-9.0,,,-11.0,11.0
Limpopo,2020-08-20,-10.0,-7.0,11.0,,-12.0,11.0
Limpopo,2020-08-21,-12.0,-9.0,12.0,,-10.0,11.0
Limpopo,2020-08-22,-15.0,-10.0,2.0,,12.0,8.0
Limpopo,2020-08-23,-12.0,-7.0,5.0,,14.0,9.0
Limpopo,2020-08-24,-16.0,-11.0,,,-8.0,11.0
Limpopo,2020-08-25,-4.0,-2.0,,,-7.0,10.0
Limpopo,2020-08-26,-3.0,0.0,,,-7.0,11.0
Limpopo,2020-08-27,-1.0,3.0,,,-8.0,10.0
Limpopo,2020-08-28,-3.0,1.0,21.0,,-8.0,8.0
Limpopo,2020-08-29,-5.0,0.0,10.0,,10.0,6.0
Limpopo,2020-08-30,-4.0,4.0,6.0,,13.0,8.0
Limpopo,2020-08-31,-8.0,-3.0,,,-8.0,11.0
Limpopo,2020-09-01,-7.0,-2.0,,,-8.0,10.0
Limpopo,2020-09-02,-4.0,-2.0,,,-8.0,10.0
Limpopo,2020-09-03,-1.0,6.0,,,-9.0,7.0
Limpopo,2020-09-04,-4.0,2.0,19.0,,-7.0,7.0
Limpopo,2020-09-05,-6.0,-2.0,12.0,,11.0,5.0
Limpopo,2020-09-06,-3.0,2.0,12.0,,12.0,7.0
Limpopo,2020-09-07,-7.0,-1.0,,,-7.0,8.0
Limpopo,2020-09-08,-6.0,-3.0,,,-6.0,9.0
Limpopo,2020-09-09,-6.0,-5.0,,,-5.0,11.0
Limpopo,2020-09-10,-4.0,0.0,,,-9.0,10.0
Limpopo,2020-09-11,-9.0,-6.0,17.0,-16.0,-7.0,7.0
Limpopo,2020-09-12,-14.0,-10.0,5.0,-18.0,7.0,6.0
Limpopo,2020-09-13,-12.0,-7.0,8.0,-22.0,10.0,7.0
Limpopo,2020-09-14,-16.0,-13.0,12.0,-18.0,-3.0,9.0
Limpopo,2020-09-15,-5.0,-5.0,14.0,-10.0,-5.0,10.0
Limpopo,2020-09-16,-6.0,-6.0,14.0,-18.0,-5.0,11.0
Limpopo,2020-09-17,-6.0,-4.0,11.0,-25.0,-8.0,11.0
Limpopo,2020-09-18,-8.0,-6.0,10.0,-13.0,-5.0,10.0
Limpopo,2020-09-19,-11.0,-9.0,1.0,-13.0,8.0,8.0
Limpopo,2020-09-20,-11.0,-7.0,2.0,-25.0,10.0,10.0
Limpopo,2020-09-21,-16.0,-14.0,10.0,-15.0,-4.0,12.0
Limpopo,2020-09-22,-16.0,-14.0,1.0,-19.0,-7.0,12.0
Limpopo,2020-09-23,-2.0,2.0,6.0,-9.0,-8.0,10.0
Limpopo,2020-09-24,-14.0,-15.0,35.0,-44.0,-62.0,22.0
Limpopo,2020-09-25,5.0,14.0,29.0,-14.0,-20.0,13.0
Limpopo,2020-09-26,-5.0,0.0,21.0,-11.0,-2.0,8.0
Limpopo,2020-09-27,1.0,7.0,6.0,1.0,3.0,8.0
Limpopo,2020-09-28,-13.0,-5.0,-4.0,-16.0,-4.0,12.0
Limpopo,2020-09-29,-12.0,-7.0,-9.0,-15.0,-6.0,12.0
Limpopo,2020-09-30,-4.0,2.0,-19.0,-17.0,-9.0,11.0
Limpopo,2020-10-01,0.0,10.0,-23.0,-12.0,-9.0,7.0
Limpopo,2020-10-02,-6.0,4.0,-23.0,-17.0,-10.0,7.0
Limpopo,2020-10-03,-6.0,1.0,-23.0,-14.0,-2.0,6.0
Limpopo,2020-10-04,-5.0,3.0,-20.0,-14.0,-1.0,6.0
Limpopo,2020-10-05,-13.0,-4.0,-25.0,-9.0,-7.0,7.0
Limpopo,2020-10-06,-15.0,-9.0,-26.0,-12.0,-9.0,8.0
Limpopo,2020-10-07,-5.0,2.0,-18.0,-17.0,-12.0,11.0
Limpopo,2020-10-08,-4.0,3.0,-14.0,-18.0,-5.0,11.0
Limpopo,2020-10-09,-8.0,-2.0,-10.0,-12.0,-4.0,9.0
Limpopo,2020-10-10,-15.0,-10.0,-17.0,-18.0,4.0,9.0
Limpopo,2020-10-11,-24.0,-18.0,-26.0,-36.0,-5.0,16.0
Limpopo,2020-10-12,-21.0,-15.0,-17.0,-27.0,-4.0,13.0
Limpopo,2020-10-13,-17.0,-14.0,-15.0,-16.0,-4.0,11.0
Limpopo,2020-10-14,-13.0,-10.0,-19.0,-17.0,-4.0,13.0
Limpopo,2020-10-15,-3.0,3.0,-19.0,-18.0,-5.0,10.0
Limpopo,2020-10-16,-7.0,1.0,-14.0,-18.0,-4.0,9.0
Limpopo,2020-10-17,-15.0,-9.0,-19.0,-14.0,6.0,8.0
Limpopo,2020-10-18,-15.0,-9.0,-18.0,-25.0,3.0,10.0
Limpopo,2020-10-19,-19.0,-12.0,-22.0,-23.0,-2.0,11.0
Limpopo,2020-10-20,-18.0,-14.0,-19.0,-18.0,-4.0,11.0
Limpopo,2020-10-21,-12.0,-10.0,-18.0,-24.0,-4.0,13.0
Limpopo,2020-10-22,-3.0,0.0,-12.0,-22.0,-3.0,10.0
Limpopo,2020-10-23,1.0,7.0,-6.0,-14.0,-3.0,7.0
Limpopo,2020-10-24,-4.0,0.0,-8.0,-22.0,7.0,6.0
Limpopo,2020-10-25,-1.0,5.0,-5.0,-21.0,6.0,8.0
Limpopo,2020-10-26,-6.0,-2.0,-5.0,-18.0,-11.0,12.0
Limpopo,2020-10-27,-6.0,-2.0,-8.0,-18.0,-13.0,12.0
Limpopo,2020-10-28,-2.0,0.0,-13.0,-23.0,-14.0,13.0
Limpopo,2020-10-29,0.0,5.0,-22.0,-25.0,-17.0,12.0
Limpopo,2020-10-30,5.0,13.0,-16.0,-22.0,-16.0,9.0
Limpopo,2020-10-31,-2.0,3.0,-17.0,-21.0,5.0,5.0
Limpopo,2020-11-01,7.0,16.0,-23.0,-12.0,5.0,6.0
Limpopo,2020-11-02,-6.0,3.0,-26.0,-19.0,1.0,9.0
Limpopo,2020-11-03,-6.0,0.0,-27.0,-17.0,-2.0,10.0
Limpopo,2020-11-04,-4.0,1.0,-24.0,-20.0,-1.0,11.0
Limpopo,2020-11-05,-4.0,3.0,-22.0,-20.0,-5.0,10.0
Limpopo,2020-11-06,-3.0,5.0,-10.0,-18.0,-4.0,6.0
Limpopo,2020-11-07,-11.0,-7.0,-17.0,-18.0,3.0,7.0
Limpopo,2020-11-08,-10.0,-3.0,-21.0,-24.0,1.0,9.0
Limpopo,2020-11-09,-17.0,-10.0,-22.0,-26.0,-3.0,11.0
Limpopo,2020-11-10,-17.0,-13.0,-22.0,-15.0,-5.0,12.0
Limpopo,2020-11-11,-12.0,-10.0,-23.0,-25.0,-4.0,12.0
Limpopo,2020-11-12,-10.0,-6.0,-21.0,-24.0,-5.0,11.0
Limpopo,2020-11-13,-7.0,-2.0,-16.0,-25.0,-4.0,8.0
Limpopo,2020-11-14,-13.0,-7.0,-20.0,-27.0,4.0,8.0
Limpopo,2020-11-15,-14.0,-7.0,-21.0,-29.0,1.0,10.0
Limpopo,2020-11-16,-18.0,-13.0,-21.0,-31.0,-2.0,11.0
Limpopo,2020-11-17,-16.0,-12.0,-24.0,-19.0,-4.0,11.0
Limpopo,2020-11-18,-13.0,-10.0,-23.0,-24.0,-4.0,12.0
Limpopo,2020-11-19,-13.0,-8.0,-25.0,-27.0,-5.0,11.0
Limpopo,2020-11-20,-9.0,0.0,-18.0,-21.0,-3.0,9.0
Limpopo,2020-11-21,-13.0,-8.0,-23.0,-28.0,4.0,9.0
Limpopo,2020-11-22,-15.0,-8.0,-25.0,-32.0,0.0,11.0
Limpopo,2020-11-23,-22.0,-17.0,-26.0,-30.0,-2.0,12.0
Limpopo,2020-11-24,-16.0,-12.0,-23.0,-22.0,-4.0,10.0
Limpopo,2020-11-25,1.0,5.0,-23.0,-19.0,-3.0,10.0
Limpopo,2020-11-26,8.0,16.0,-20.0,-19.0,-5.0,8.0
Limpopo,2020-11-27,7.0,15.0,-15.0,-14.0,-4.0,6.0
Limpopo,2020-11-28,0.0,6.0,-13.0,-13.0,4.0,6.0
Limpopo,2020-11-29,2.0,8.0,-18.0,-20.0,6.0,7.0
Limpopo,2020-11-30,-2.0,5.0,-14.0,-18.0,2.0,8.0
Limpopo,2020-12-01,4.0,11.0,-11.0,-7.0,1.0,8.0
Limpopo,2020-12-02,6.0,13.0,-14.0,-19.0,0.0,11.0
Limpopo,2020-12-03,10.0,19.0,-14.0,-13.0,-1.0,9.0
Limpopo,2020-12-04,7.0,17.0,-9.0,-5.0,-2.0,7.0
Limpopo,2020-12-05,0.0,6.0,-15.0,-18.0,4.0,6.0
Limpopo,2020-12-06,-1.0,5.0,-13.0,-21.0,1.0,8.0
Limpopo,2020-12-07,-5.0,1.0,-8.0,-18.0,-2.0,9.0
Limpopo,2020-12-08,-5.0,-1.0,-11.0,-15.0,-2.0,10.0
Limpopo,2020-12-09,-1.0,0.0,-8.0,-25.0,-3.0,11.0
Limpopo,2020-12-10,0.0,5.0,-9.0,-23.0,-6.0,11.0
Limpopo,2020-12-11,-4.0,3.0,-7.0,-16.0,-5.0,10.0
Limpopo,2020-12-12,-7.0,-2.0,-11.0,-21.0,3.0,6.0
Limpopo,2020-12-13,-5.0,0.0,-5.0,-17.0,4.0,10.0
Limpopo,2020-12-14,-9.0,-6.0,-7.0,-29.0,-7.0,13.0
Limpopo,2020-12-15,16.0,17.0,-3.0,-12.0,-10.0,9.0
Limpopo,2020-12-16,-7.0,-10.0,11.0,-44.0,-60.0,25.0
Limpopo,2020-12-17,20.0,26.0,5.0,-18.0,-26.0,14.0
Limpopo,2020-12-18,12.0,16.0,9.0,-7.0,-27.0,15.0
Limpopo,2020-12-19,9.0,13.0,15.0,4.0,1.0,7.0
Limpopo,2020-12-20,19.0,22.0,31.0,-6.0,2.0,9.0
Limpopo,2020-12-21,25.0,28.0,43.0,-8.0,-32.0,14.0
Limpopo,2020-12-22,30.0,33.0,52.0,1.0,-35.0,13.0
Limpopo,2020-12-23,48.0,53.0,61.0,8.0,-38.0,13.0
Limpopo,2020-12-24,57.0,73.0,74.0,9.0,-48.0,12.0
Limpopo,2020-12-25,-32.0,-32.0,84.0,-41.0,-79.0,25.0
Limpopo,2020-12-26,-7.0,-9.0,62.0,-15.0,-39.0,11.0
Limpopo,2020-12-27,25.0,24.0,69.0,12.0,-12.0,8.0
Limpopo,2020-12-28,29.0,31.0,81.0,-9.0,-47.0,17.0
Limpopo,2020-12-29,11.0,15.0,73.0,-13.0,-49.0,21.0
Limpopo,2020-12-30,20.0,24.0,68.0,-13.0,-49.0,22.0
Limpopo,2020-12-31,29.0,47.0,69.0,-11.0,-52.0,19.0
Limpopo,2021-01-01,-46.0,-44.0,63.0,-60.0,-79.0,36.0
Limpopo,2021-01-02,-8.0,3.0,25.0,-16.0,-22.0,18.0
Limpopo,2021-01-03,0.0,11.0,25.0,0.0,-9.0,17.0
Limpopo,2021-01-04,7.0,17.0,28.0,-16.0,-34.0,20.0
Limpopo,2021-01-05,-3.0,7.0,24.0,-16.0,-36.0,21.0
Limpopo,2021-01-06,-1.0,7.0,11.0,-26.0,-35.0,23.0
Limpopo,2021-01-07,-7.0,4.0,11.0,-35.0,-36.0,22.0
Limpopo,2021-01-08,-16.0,-3.0,3.0,-30.0,-34.0,23.0
Limpopo,2021-01-09,-22.0,-9.0,-10.0,-34.0,-4.0,17.0
Limpopo,2021-01-10,-21.0,-6.0,-10.0,-36.0,-9.0,19.0
Limpopo,2021-01-11,-17.0,-6.0,-1.0,-34.0,-28.0,20.0
Limpopo,2021-01-12,-21.0,-13.0,-3.0,-33.0,-32.0,20.0
Limpopo,2021-01-13,-22.0,-16.0,-9.0,-44.0,-33.0,21.0
Limpopo,2021-01-14,-26.0,-19.0,-16.0,-45.0,-37.0,20.0
Limpopo,2021-01-15,-27.0,-17.0,-22.0,-46.0,-37.0,18.0
Limpopo,2021-01-16,-35.0,-25.0,-34.0,-49.0,-17.0,15.0
Limpopo,2021-01-17,-35.0,-23.0,-30.0,-50.0,-18.0,17.0
Limpopo,2021-01-18,-29.0,-21.0,-20.0,-45.0,-33.0,19.0
Limpopo,2021-01-19,-28.0,-24.0,-21.0,-38.0,-34.0,20.0
Limpopo,2021-01-20,-26.0,-22.0,-20.0,-45.0,-34.0,22.0
Limpopo,2021-01-21,-25.0,-18.0,-20.0,-46.0,-34.0,22.0
Limpopo,2021-01-22,-23.0,-12.0,-22.0,-45.0,-32.0,21.0
Limpopo,2021-01-23,-29.0,-15.0,-35.0,-46.0,-11.0,17.0
Limpopo,2021-01-24,-43.0,-33.0,-34.0,-63.0,-22.0,24.0
Limpopo,2021-01-25,-24.0,-16.0,-23.0,-43.0,-27.0,21.0
Limpopo,2021-01-26,-19.0,-14.0,-21.0,-36.0,-26.0,18.0
Limpopo,2021-01-27,-14.0,-9.0,-22.0,-38.0,-25.0,18.0
Limpopo,2021-01-28,-12.0,-6.0,-26.0,-40.0,-26.0,18.0
Limpopo,2021-01-29,-10.0,0.0,-25.0,-33.0,-24.0,16.0
Limpopo,2021-01-30,-10.0,1.0,-36.0,-33.0,-6.0,13.0
Limpopo,2021-01-31,-5.0,9.0,-32.0,-36.0,-6.0,14.0
Limpopo,2021-02-01,-11.0,-2.0,-32.0,-29.0,-15.0,13.0
Limpopo,2021-02-02,-11.0,-4.0,-28.0,-32.0,-18.0,14.0
Limpopo,2021-02-03,-6.0,-1.0,-27.0,-30.0,-16.0,14.0
Limpopo,2021-02-04,-8.0,-1.0,-25.0,-30.0,-19.0,14.0
Limpopo,2021-02-05,-15.0,-8.0,-27.0,-34.0,-19.0,13.0
Limpopo,2021-02-06,-18.0,-11.0,-34.0,-32.0,-7.0,11.0
Limpopo,2021-02-07,-18.0,-9.0,-31.0,-37.0,-9.0,15.0
Limpopo,2021-02-08,-15.0,-9.0,-27.0,-26.0,-16.0,13.0
Limpopo,2021-02-09,-13.0,-8.0,-26.0,-21.0,-17.0,12.0
Limpopo,2021-02-10,-11.0,-8.0,-28.0,-30.0,-17.0,12.0
Limpopo,2021-02-11,-8.0,-2.0,-31.0,-27.0,-17.0,12.0
Limpopo,2021-02-12,-13.0,-7.0,-32.0,-20.0,-15.0,12.0
Limpopo,2021-02-13,-13.0,-6.0,-38.0,-21.0,-5.0,13.0
Limpopo,2021-02-14,0.0,4.0,-39.0,-28.0,-5.0,13.0
Limpopo,2021-02-15,-11.0,-6.0,-39.0,-23.0,-11.0,11.0
Limpopo,2021-02-16,-14.0,-8.0,-39.0,-21.0,-12.0,12.0
Limpopo,2021-02-17,-10.0,-7.0,-37.0,-22.0,-10.0,13.0
Limpopo,2021-02-18,-9.0,-4.0,-37.0,-24.0,-12.0,13.0
Limpopo,2021-02-19,-15.0,-10.0,-36.0,-20.0,-10.0,12.0
Limpopo,2021-02-20,-19.0,-11.0,-42.0,-25.0,-1.0,12.0
Limpopo,2021-02-21,-18.0,-10.0,-40.0,-30.0,-4.0,13.0
Limpopo,2021-02-22,-18.0,-13.0,-41.0,-30.0,-10.0,12.0
Limpopo,2021-02-23,-15.0,-13.0,-41.0,-18.0,-10.0,11.0
Limpopo,2021-02-24,-9.0,-8.0,-38.0,-22.0,-9.0,13.0
Limpopo,2021-02-25,3.0,9.0,-38.0,-16.0,-9.0,11.0
Limpopo,2021-02-26,5.0,12.0,-33.0,-8.0,-7.0,8.0
Limpopo,2021-02-27,11.0,19.0,-34.0,-4.0,4.0,8.0
Limpopo,2021-02-28,17.0,28.0,-33.0,-8.0,7.0,9.0
Limpopo,2021-03-01,6.0,14.0,-34.0,-8.0,-2.0,9.0
Limpopo,2021-03-02,2.0,9.0,-34.0,1.0,-4.0,9.0
Limpopo,2021-03-03,6.0,11.0,-35.0,-15.0,-4.0,11.0
Limpopo,2021-03-04,4.0,12.0,-35.0,-11.0,-5.0,10.0
Limpopo,2021-03-05,3.0,13.0,-32.0,-1.0,-3.0,8.0
Limpopo,2021-03-06,2.0,11.0,-34.0,-5.0,8.0,8.0
Limpopo,2021-03-07,2.0,10.0,-32.0,-5.0,6.0,10.0
Limpopo,2021-03-08,-8.0,-1.0,-37.0,-8.0,-1.0,10.0
Limpopo,2021-03-09,-9.0,-4.0,-36.0,-6.0,-4.0,9.0
Limpopo,2021-03-10,-6.0,-3.0,-37.0,-14.0,-4.0,12.0
Limpopo,2021-03-11,-7.0,-2.0,-41.0,-18.0,-7.0,9.0
Limpopo,2021-03-12,-9.0,-2.0,-34.0,-17.0,-5.0,7.0
Limpopo,2021-03-13,-11.0,-3.0,-36.0,-13.0,5.0,7.0
Limpopo,2021-03-14,-11.0,-4.0,-36.0,-21.0,0.0,10.0
Limpopo,2021-03-15,-7.0,-1.0,-38.0,-15.0,-1.0,8.0
Limpopo,2021-03-16,-8.0,-3.0,-37.0,-8.0,-3.0,8.0
Limpopo,2021-03-17,-5.0,-1.0,-37.0,-14.0,-2.0,10.0
Limpopo,2021-03-18,-4.0,3.0,-39.0,-8.0,-4.0,9.0
Limpopo,2021-03-19,-1.0,9.0,-29.0,-8.0,-2.0,6.0
Limpopo,2021-03-20,-2.0,9.0,-27.0,1.0,5.0,8.0
Limpopo,2021-03-21,-5.0,0.0,-21.0,-26.0,-1.0,11.0
