Province,District_level,Data_title,Data_type,Friendly_title,Cat,District,Order,Data_file,Notes
NC,1,ZF Mgcawu-Deaths,Deaths,Z F Mgcawu,DC8,,9,provincial_nc_cumulative,
NC,1,John Taolo Gaetswe-Deaths,Deaths,John Taolo Gaetsewe,DC45,,10,provincial_nc_cumulative,
NC,1,Francis Baard-Recoveries,Recovery,Frances Baard,DC9,,11,provincial_nc_cumulative,
NC,1,Namakwa-Recoveries,Recovery,Namakwa,DC6,,12,provincial_nc_cumulative,
NC,1,Pixley Ka Seme-Recoveries,Recovery,Pixley ka Seme,DC7,,13,provincial_nc_cumulative,
NC,1,ZF Mgcawu-Recoveries,Recovery,Z F Mgcawu,DC8,,14,provincial_nc_cumulative,
NC,1,John Taolo Gaetswe-Recoveries,Recovery,John Taolo Gaetsewe,DC45,,15,provincial_nc_cumulative,
NW,1,dr_ruth_segomotsi_mompati,Case,Dr Ruth Segomotsi Mompati,DC39,,16,provincial_nw_cumulative,
NW,1,ngaka_modiri_molema,Case,Ngaka Modiri Molema,DC38,,17,provincial_nw_cumulative,
NW,1,bojanala_platinum,Case,Bojanala,DC37,,18,provincial_nw_cumulative,
NW,1,dr_kenneth_kaunda,Case,Dr Kenneth Kaunda,DC40,,19,provincial_nw_cumulative,
NW,1,unallocated,Case,North West Unknown,,,20,provincial_nw_cumulative,
NW,0,total,Case,North West Total,,,21,provincial_nw_cumulative,
NW,0,recovered,Recovery,North West Recoveries,,,22,provincial_nw_cumulative,
NW,0,deaths,Death,North West Deaths,,,23,provincial_nw_cumulative,
NW,0,tested,Test,North West Tested,,,24,provincial_nw_cumulative,
KZN,1,Amajuba,Case,Amajuba,DC25,,1,,RECORD DOES NOT EXISIT YET
KZN,1,eThekwini,Case,eThekwini,ETH,,2,,RECORD DOES NOT EXISIT YET
KZN,1,Harry Gwala,Case,Harry Gwala,DC43,,3,,RECORD DOES NOT EXISIT YET
KZN,1,iLembe,Case,iLembe,DC29,,4,,RECORD DOES NOT EXISIT YET
KZN,1,King Cetshwayo,Case,King Cetshwayo,DC28,,5,,RECORD DOES NOT EXISIT YET
KZN,1,Ugu,Case,Ugu,DC21,,6,,RECORD DOES NOT EXISIT YET
KZN,1,Umgungundlovu,Case,Umgungundlovu,DC22,,7,,RECORD DOES NOT EXISIT YET
KZN,1,Umkhanyakude,Case,Umkhanyakude,DC27,,8,,RECORD DOES NOT EXISIT YET
KZN,1,Umzinyathi,Case,Umzinyathi,DC24,,9,,RECORD DOES NOT EXISIT YET
KZN,1,Uthukela,Case,Uthukela,DC23,,10,,RECORD DOES NOT EXISIT YET
KZN,1,Zululand,Case,Zululand,DC26,,11,,RECORD DOES NOT EXISIT YET
KZN,1,Unknown,Case,KwaZula Natal Unknown,"","",12,,RECORD DOES NOT EXISIT YET
KZN,0,Total,Case,KwaZulu Natal Total,"","",13,,RECORD DOES NOT EXISIT YET
