Suburbs,No. of Cases
Stellendale Village,1
Sunset Glen,1
Sunset Links Golf Estate,1
Suurbraak,1
The Brink Eco Estate,1
THE CONIFERS,1
The Crest,1
Tierkloof,1
Tokai Forest Reserve,1
Town 2 Village 2A,1
Transnet Marshalling Yard,1
Uitzicht Security Estate,1
Van Der Stel,1
Van Ryneveld,1
VANRHYNSDORP,1
Vierlanden Kleinhoewes,1
VoÃ«lklip,1
Vogelvlei,1
Vredenburg,1
Walmer Estate,1
Waterfront,1
Welcome,1
Welcome Glen,1
Welgedacht Country Estate,1
Welgelee,1
Welgelegen 1,1
Welgevonden Estate,1
Wellington East,1
Wellington North,1
WELTEVREDEN,1
Wembley Park,1
Westhill,1
Witteboomen,1
Witteklip,1
Zevendal,1
Zoo Park,1
